ORDEN,FECHA,CLIENTE,ART,COLOR,METROS ,GXM,MAQUINA,OBSERVACIONES,Unnamed: 9,Unnamed: 10
184.0,2022-06-16 00:00:00,TELARES D SUR,TRACKER,ALLO LIMON,339.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
185.0,   17/06/2022,DETOMASO,TRACKER,ALLO LIMON,766.0,0.21,JET 1,TEÑIDO POLIESTER EN JET 1,,
186.0, 21/06/2022,TOBATEL,RIP STOP,NEGRO,291.0,0.315,JET 1,TEÑIDO POLIESTER EN JET 1,,
187.0,2022-06-21 00:00:00,TOBATEL,RIP STOP,NEGRO,291.0,0.315,JET 1,TEÑIDO POLIESTER EN JET 1,,
188.0,2022-06-21 00:00:00,TELARES D SUR,TRACKER,VDE MILITAR,347.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
189.0,2022-06-21 00:00:00,TELARES D SUR,TRACKER,VDE MILITAR,347.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
190.0,2022-06-21 00:00:00,TELARES D SUR,TRACKER,VDE MILITAR,347.0,0.435, JET 1,TEÑIDO POLIESTER EN JET 1,,
191.0,2022-06-22 00:00:00,TOBATEL,RIP STOP,GRIS TOPO,433.0,0.315,JIGGER,TEÑIDO ALGODÓN  EN JIGGER2,,
192.0,2022-06-22 00:00:00,JOMEH,MADRAS,NEGRO,815.0,0.21,JET 1,TEÑIDO UNI ALG/POL EN JET 1,,
193.0,2022-06-23 00:00:00,POLIZZOTTO,BOLSILLO,NEGRO,1115.0,0.16,JET 1,TEÑIDO UNI ALG/POL EN JET 1,,
194.0,2022-06-23 00:00:00,TOBATEL,RIP STOP,NEGRO,494.0,0.315,JET 1,TEÑIDO POLIESTER EN JET 1,,
195.0,2022-06-23 00:00:00,TOBATEL,RIP STOP,NEGRO,494.0,0.315,JET 1,TEÑIDO POLIESTER EN JET 1,,
196.0,2022-06-24 00:00:00,DALTEX,POPLIN,MARINO,816.0,0.16,JET 1,TEÑIDO POLIESTER EN JET 1,,
197.0,2022-06-24 00:00:00,TOBATEL,RIP STOP,NEGRO,780.0,0.315,JIGGER,TEÑIDO ALGODÓN EN JIGGER,,
198.0,2022-06-24 00:00:00,TOBATEL ,MICROCOTTON,VDE MILITAR,750.0,0.19,JET 1,TEÑIDO POLIESTER EN JET 1,,
199.0,2022-06-24 00:00:00,TOBATEL,MICROCOTTON,VDE MILITAR,750.0,0.19,JET 1,TEÑIDO POLIESTER EN JET 1,,
200.0,2022-06-25 00:00:00,TOBATEL,RIP STOP,NEGRO,350.0,0.315,JET 1,TEÑIDO POLIESTER EN JET 1,,
201.0,2022-06-25 00:00:00,TOBATEL,RIP STOP,NEGRO,350.0,0.315,JET 1,TEÑIDO POLIESTER EN JET 1,,
202.0,2022-06-25 00:00:00,FIBRASINT,F D CARBONO  VERDE , VERDE ,1475.0,0.172,JIGGER,TEIÑIDO POLIESTER EN JIGGER,,
203.0,2022-06-25 00:00:00,TOBATEL,MICROCOTTON, NEGRO,752.0,0.19,JET 1,TEÑIDO UNI ALG/POL EN JET 1,,
204.0,2022-06-25 00:00:00,TOBATEL,MICROCOTTON, NEGRO,727.0,0.19,JET 1,TEÑIDO UNI ALG/POL EN JET 1,,
205.0,2022-06-28 00:00:00,JOMEH,MADRAS,MARINO,809.0,0.21,JET 1,TEÑIDO POL/ALG EN 2 BAÑOS,,
206.0,2022-06-28 00:00:00,JOMEH,MADRAS,BORDO,814.0,0.21,JET 1,TEÑIDO POL/ALG EN 2 BAÑOS,,
207.0,2022-06-29 00:00:00,SADASA,CORDURA,NEGRO,319.0,0.46,JET 1,TEÑIDO POLIESTER EN JET 1,,
208.0,2022-06-29 00:00:00,SADASA,CORDURA,NEGRO,319.0,0.46,JET 1,TEÑIDO POLIESTER EN JET 1,,
