ORDEN,FECHA,CLIENTE,ART,COLOR,METROS ,GXM,MAQUINA,OBSERVACIONES,Unnamed: 9,Unnamed: 10
56.0,2022-04-13 00:00:00,DALESSANDRO ALG/POL, VOILE,NATURAL,2710.0,0.1,JIGGERS,MATIZADO EN JIGGERS,,
57.0,2022-04-13 00:00:00,TELARES D SUR,TRACKER ,ROJO,315.0,0.392,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
58.0,2022-04-13 00:00:00,TELARES D SUR,TRACKER ,ROJO,315.0,0.392,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
59.0,2022-04-13 00:00:00,TELARES D SUR,TRACKER ,ROJO,315.0,0.392,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
60.0,2022-04-14 00:00:00,TOBATEL,CIRCUS,ROJO,1000.0,0.14,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
61.0,2022-04-15 00:00:00,NOTTA,SARGA,ROJO,494.0,0.3,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
62.0,2022-04-15 00:00:00,NOTTA,SARGA,ROJO,489.0,0.3,JET 1,TEÑIDO DE POLIESTER EN JET 1,EN JET 1,
63.0,2022-04-18 00:00:00,TOBATEL,CIRCUS,FRANCIA,1000.0,0.14,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
64.0,2022-04-18 00:00:00,NOTTA,SARGA,FRANCIA,492.0,0.3, JET 1,TEÑIDO DE POLIESTER EN JET 1,,
65.0,2022-04-18 00:00:00,NOTTA,SARGA,FRANCIA,499.0,0.3,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
66.0,2022-04-19 00:00:00,TOBATEL,RIP STOP,MNO NOCHE,734.0,0.31,JIGGERS 2,TEÑIDO ALGODÓN EN JIGGERS 2,,
67.0,2022-04-20 00:00:00,DE TOMASO,TRACKER ,GREEN ASH,581.0,0.21,JET 1,TEÑIDO POLIESTER EN JET 1,,
